Sl. No,Timestamp,Cell id,AP1,AP2,AP3,AP4,AP5,AP6,AP7,AP8,AP9,AP10,AP11,AP12
14,1657875354,T7,-92,-66,-110,-82,-85,-110,-110,-110,-110,-110,-97,-110
0,1657875381,T8,-92,-66,-110,-82,-85,-110,-110,-110,-110,-110,-97,-110
1,1657875382,T8,-92,-66,-110,-82,-85,-110,-110,-110,-110,-110,-97,-110
2,1657875383,T8,-92,-66,-110,-82,-85,-110,-110,-110,-110,-110,-97,-110
3,1657875384,T8,-92,-66,-110,-82,-85,-110,-110,-110,-110,-110,-97,-110
4,1657875385,T8,-92,-66,-110,-82,-85,-110,-110,-110,-110,-110,-97,-110
5,1657875386,T8,-92,-66,-110,-82,-85,-110,-110,-110,-110,-110,-97,-110
6,1657875387,T8,-92,-66,-110,-82,-85,-110,-110,-110,-110,-110,-97,-110
7,1657875388,T8,-92,-66,-110,-82,-85,-110,-110,-110,-110,-110,-97,-110
8,1657875389,T8,-92,-66,-110,-82,-85,-110,-110,-110,-110,-110,-97,-110
9,1657875390,T8,-92,-66,-110,-82,-85,-110,-110,-110,-110,-110,-97,-110
10,1657875391,T8,-92,-66,-110,-82,-85,-110,-110,-110,-110,-110,-97,-110
11,1657875392,T8,-92,-66,-110,-82,-85,-110,-110,-110,-110,-110,-97,-110
12,1657875393,T8,-92,-66,-110,-82,-85,-110,-110,-110,-110,-110,-97,-110
0,1657875420,T9,-110,-70,-110,-110,-85,-110,-110,-110,-110,-110,-110,-110
1,1657875421,T9,-110,-70,-110,-110,-85,-110,-110,-110,-110,-110,-110,-110
2,1657875422,T9,-110,-70,-110,-110,-85,-110,-110,-110,-110,-110,-110,-110
3,1657875423,T9,-110,-70,-110,-110,-85,-110,-110,-110,-110,-110,-110,-110
4,1657875424,T9,-110,-70,-110,-110,-85,-110,-110,-110,-110,-110,-110,-110
5,1657875425,T9,-89,-64,-110,-110,-89,-110,-110,-110,-110,-110,-110,-110
6,1657875426,T9,-110,-110,-110,-110,-110,-110,-110,-110,-89,-110,-110,-110
7,1657875427,T9,-89,-64,-110,-110,-89,-110,-110,-110,-89,-110,-110,-110
8,1657875428,T9,-89,-64,-110,-110,-89,-110,-110,-110,-89,-110,-110,-110
9,1657875429,T9,-89,-64,-110,-110,-89,-110,-110,-110,-89,-110,-110,-110
10,1657875430,T9,-89,-64,-110,-110,-89,-110,-110,-110,-89,-110,-110,-110
11,1657875431,T9,-89,-64,-110,-110,-89,-110,-110,-110,-89,-110,-110,-110
