Sl. No,Timestamp,Cell id,AP1,AP2,AP3,AP4,AP5,AP6,AP7,AP8,AP9,AP10,AP11,AP12
3,1657875333,T2,-66,-110,-85,-78,-85,-110,-110,-110,-110,-110,-110,-110
4,1657875334,T2,-66,-110,-85,-78,-85,-110,-110,-110,-110,-110,-110,-110
5,1657875335,T2,-66,-110,-85,-78,-85,-110,-110,-110,-110,-110,-110,-110
6,1657875336,T2,-66,-110,-85,-78,-85,-110,-110,-110,-110,-110,-110,-110
7,1657875337,T2,-66,-110,-85,-78,-85,-110,-110,-110,-110,-110,-110,-110
8,1657875338,T2,-66,-110,-85,-78,-85,-110,-110,-110,-110,-110,-110,-110
9,1657875339,T2,-66,-110,-85,-78,-85,-110,-110,-110,-110,-110,-110,-110
10,1657875340,T2,-66,-110,-85,-78,-85,-110,-110,-110,-110,-110,-110,-110
11,1657875341,T2,-66,-110,-85,-78,-85,-110,-110,-110,-110,-110,-110,-110
12,1657875342,T2,-66,-110,-85,-78,-85,-110,-110,-110,-110,-110,-110,-110
13,1657875343,T2,-66,-110,-85,-78,-85,-110,-110,-110,-110,-110,-110,-110
14,1657875344,T2,-66,-110,-85,-78,-85,-110,-110,-110,-110,-110,-110,-110
15,1657875367,T2,-62,-110,-110,-75,-110,-110,-110,-110,-110,-76,-89,-110
16,1657875368,T2,-62,-110,-110,-75,-110,-110,-110,-110,-110,-76,-89,-110
17,1657875369,T2,-69,-110,-84,-76,-110,-110,-110,-110,-110,-65,-110,-110
18,1657875370,T2,-69,-110,-84,-76,-110,-110,-110,-110,-110,-65,-110,-110
19,1657875371,T2,-69,-110,-84,-76,-110,-110,-110,-110,-110,-65,-110,-110
20,1657875372,T2,-69,-110,-84,-76,-110,-110,-110,-110,-110,-65,-110,-110
21,1657875373,T2,-69,-110,-84,-76,-110,-110,-110,-110,-110,-65,-110,-110
22,1657875374,T2,-69,-110,-84,-76,-110,-110,-110,-110,-110,-65,-110,-110
23,1657875375,T2,-69,-110,-84,-76,-110,-110,-110,-110,-110,-65,-110,-110
24,1657875376,T2,-69,-110,-84,-76,-110,-110,-110,-110,-110,-65,-110,-110
25,1657875377,T2,-69,-110,-84,-76,-110,-110,-110,-110,-110,-65,-110,-110
26,1657875378,T2,-69,-110,-84,-76,-110,-110,-110,-110,-110,-65,-110,-110
27,1657875379,T2,-69,-110,-84,-76,-110,-110,-110,-110,-110,-65,-110,-110
28,1657875380,T2,-69,-110,-84,-76,-110,-110,-110,-110,-110,-65,-110,-110
29,1657875381,T2,-69,-110,-84,-76,-110,-110,-110,-110,-110,-65,-110,-110
30,1657875382,T2,-69,-110,-84,-76,-110,-110,-110,-110,-110,-65,-110,-110
31,1657875383,T2,-69,-110,-84,-76,-110,-110,-110,-110,-110,-65,-110,-110
32,1657875384,T2,-69,-110,-84,-76,-110,-110,-110,-110,-110,-65,-110,-110
0,1657875428,T3,-69,-110,-110,-110,-85,-110,-90,-110,-110,-110,-110,-110
1,1657875429,T3,-69,-110,-110,-110,-85,-110,-90,-110,-110,-110,-110,-110
2,1657875430,T3,-71,-110,-110,-110,-110,-80,-110,-110,-110,-110,-110,-110
3,1657875431,T3,-71,-110,-110,-110,-110,-80,-110,-110,-110,-110,-110,-110
4,1657875437,T3,-68,-76,-110,-76,-110,-110,-110,-110,-110,-110,-110,-110
5,1657875438,T3,-68,-76,-110,-76,-110,-110,-110,-110,-110,-110,-110,-110
6,1657875439,T3,-68,-76,-110,-76,-110,-110,-110,-110,-110,-110,-110,-110
7,1657875440,T3,-68,-76,-110,-76,-110,-110,-110,-110,-110,-110,-110,-110
8,1657875441,T3,-68,-76,-110,-76,-110,-110,-110,-110,-110,-110,-110,-110
9,1657875442,T3,-68,-76,-110,-76,-110,-110,-110,-110,-110,-110,-110,-110
10,1657875443,T3,-68,-76,-110,-76,-110,-110,-110,-110,-110,-110,-110,-110
0,1657875544,T4,-71,-80,-110,-74,-89,-82,-85,-110,-110,-110,-110,-110
1,1657875545,T4,-71,-80,-110,-74,-89,-82,-85,-110,-110,-110,-110,-110
2,1657875546,T4,-71,-80,-110,-74,-89,-82,-85,-110,-110,-110,-110,-110
3,1657875547,T4,-71,-80,-110,-74,-89,-82,-85,-110,-110,-110,-110,-110
4,1657875548,T4,-71,-80,-110,-74,-89,-82,-85,-110,-110,-110,-110,-110
5,1657875549,T4,-71,-80,-110,-74,-89,-82,-85,-110,-110,-110,-110,-110
6,1657875550,T4,-69,-82,-110,-83,-86,-110,-110,-110,-110,-110,-110,-86
7,1657875551,T4,-69,-82,-110,-83,-86,-110,-110,-110,-110,-110,-110,-86
8,1657875552,T4,-68,-74,-84,-79,-110,-110,-93,-110,-110,-110,-110,-110
9,1657875553,T4,-68,-74,-84,-79,-110,-110,-93,-110,-110,-110,-110,-110
0,1657875604,T5,-62,-81,-110,-73,-86,-83,-110,-110,-110,-110,-110,-110
1,1657875605,T5,-62,-81,-110,-73,-86,-83,-110,-110,-110,-110,-110,-110
2,1657875606,T5,-62,-81,-110,-73,-86,-83,-110,-110,-110,-110,-110,-110
3,1657875607,T5,-62,-81,-110,-73,-86,-83,-110,-110,-110,-110,-110,-110
4,1657875608,T5,-62,-81,-110,-73,-86,-83,-110,-110,-110,-110,-110,-110
5,1657875609,T5,-62,-81,-110,-73,-86,-83,-110,-110,-110,-110,-110,-110
6,1657875610,T5,-62,-81,-110,-73,-86,-83,-110,-110,-110,-110,-110,-110
7,1657875611,T5,-62,-81,-110,-73,-86,-83,-110,-110,-110,-110,-110,-110
8,1657875612,T5,-62,-81,-110,-73,-86,-83,-110,-110,-110,-110,-110,-110
9,1657875613,T5,-62,-81,-110,-73,-86,-83,-110,-110,-110,-110,-110,-110
0,1657875635,T6,-59,-77,-110,-72,-110,-88,-110,-110,-110,-110,-110,-110
1,1657875636,T6,-59,-77,-110,-72,-110,-88,-110,-110,-110,-110,-110,-110
2,1657875637,T6,-59,-77,-110,-72,-110,-88,-110,-110,-110,-110,-110,-110
3,1657875638,T6,-59,-77,-110,-72,-110,-88,-110,-110,-110,-110,-110,-110
4,1657875639,T6,-59,-77,-110,-72,-110,-88,-110,-110,-110,-110,-110,-110
5,1657875640,T6,-59,-77,-110,-72,-110,-88,-110,-110,-110,-110,-110,-110
6,1657875641,T6,-59,-77,-110,-72,-110,-88,-110,-110,-110,-110,-110,-110
7,1657875642,T6,-63,-79,-110,-66,-110,-79,-110,-78,-110,-110,-90,-110
8,1657875643,T6,-63,-79,-110,-66,-110,-79,-110,-78,-110,-110,-90,-110
9,1657875644,T6,-63,-79,-110,-66,-110,-79,-110,-78,-110,-110,-90,-110
0,1657875660,T7,-63,-79,-110,-66,-110,-79,-110,-78,-110,-110,-90,-110
1,1657875661,T7,-63,-79,-110,-66,-110,-79,-110,-78,-110,-110,-90,-110
2,1657875662,T7,-61,-110,-76,-72,-86,-76,-110,-110,-90,-110,-110,-110
3,1657875663,T7,-61,-110,-76,-72,-86,-76,-110,-110,-90,-110,-110,-110
4,1657875664,T7,-61,-110,-76,-72,-86,-76,-110,-110,-90,-110,-110,-110
5,1657875665,T7,-61,-110,-76,-72,-86,-76,-110,-110,-90,-110,-110,-110
6,1657875666,T7,-61,-110,-76,-72,-86,-76,-110,-110,-90,-110,-110,-110
7,1657875667,T7,-61,-110,-76,-72,-86,-76,-110,-110,-90,-110,-110,-110
0,1657875686,T8,-69,-110,-110,-110,-110,-77,-110,-110,-110,-110,-110,-83
1,1657875687,T8,-69,-110,-110,-110,-110,-77,-110,-110,-110,-110,-110,-83
2,1657875688,T8,-60,-110,-110,-77,-110,-77,-110,-110,-110,-110,-90,-110
3,1657875689,T8,-60,-110,-110,-77,-110,-77,-110,-110,-110,-110,-90,-110
4,1657875690,T8,-63,-110,-80,-82,-110,-110,-110,-110,-110,-110,-110,-110
5,1657875691,T8,-63,-110,-80,-82,-110,-110,-110,-110,-110,-110,-110,-110
6,1657875692,T8,-63,-110,-80,-82,-110,-110,-110,-110,-110,-110,-110,-110
7,1657875693,T8,-63,-110,-80,-82,-110,-110,-110,-110,-110,-110,-110,-110
8,1657875694,T8,-63,-110,-80,-82,-110,-110,-110,-110,-110,-110,-110,-110
9,1657875695,T8,-63,-110,-80,-82,-110,-110,-110,-110,-110,-110,-110,-110
10,1657875696,T8,-63,-110,-80,-82,-110,-110,-110,-110,-110,-110,-110,-110
11,1657875697,T8,-63,-110,-80,-82,-110,-110,-110,-110,-110,-110,-110,-110
12,1657875698,T8,-63,-110,-80,-82,-110,-110,-110,-110,-110,-110,-110,-110
13,1657875699,T8,-63,-110,-80,-82,-110,-110,-110,-110,-110,-110,-110,-110
14,1657875700,T8,-63,-110,-80,-82,-110,-110,-110,-110,-110,-110,-110,-110
15,1657875701,T8,-63,-110,-80,-82,-110,-110,-110,-110,-110,-110,-110,-110
0,1657875723,T9,-61,-110,-83,-73,-110,-110,-110,-110,-110,-110,-89,-87
1,1657875724,T9,-61,-110,-83,-73,-110,-110,-110,-110,-110,-110,-89,-87
2,1657875725,T9,-61,-110,-83,-73,-110,-110,-110,-110,-110,-110,-89,-87
3,1657875726,T9,-61,-110,-83,-73,-110,-110,-110,-110,-110,-110,-89,-87
4,1657875727,T9,-61,-110,-83,-73,-110,-110,-110,-110,-110,-110,-89,-87
5,1657875728,T9,-61,-110,-83,-73,-110,-110,-110,-110,-110,-110,-89,-87
6,1657875729,T9,-61,-110,-83,-73,-110,-110,-110,-110,-110,-110,-89,-87
7,1657875730,T9,-61,-110,-83,-73,-110,-110,-110,-110,-110,-110,-89,-87
8,1657875731,T9,-67,-74,-110,-77,-86,-81,-110,-110,-110,-110,-110,-110
9,1657875732,T9,-67,-74,-110,-77,-86,-81,-110,-110,-110,-110,-110,-110
0,1657875761,T10,-65,-78,-110,-79,-110,-84,-110,-110,-87,-110,-110,-86
1,1657875762,T10,-65,-78,-110,-79,-110,-84,-110,-110,-87,-110,-110,-86
2,1657875763,T10,-65,-78,-110,-79,-110,-84,-110,-110,-87,-110,-110,-86
3,1657875764,T10,-65,-78,-110,-79,-110,-84,-110,-110,-87,-110,-110,-86
4,1657875765,T10,-65,-78,-110,-79,-110,-84,-110,-110,-87,-110,-110,-86
5,1657875766,T10,-65,-78,-110,-79,-110,-84,-110,-110,-87,-110,-110,-86
6,1657875767,T10,-65,-78,-110,-79,-110,-84,-110,-110,-87,-110,-110,-86
7,1657875768,T10,-65,-78,-110,-79,-110,-84,-110,-110,-87,-110,-110,-86
8,1657875769,T10,-65,-78,-110,-79,-110,-84,-110,-110,-87,-110,-110,-86
9,1657875770,T10,-65,-78,-110,-79,-110,-84,-110,-110,-87,-110,-110,-86
10,1657875771,T10,-65,-78,-110,-79,-110,-84,-110,-110,-87,-110,-110,-86
11,1657875772,T10,-65,-78,-110,-79,-110,-84,-110,-110,-87,-110,-110,-86
0,1657875806,T11,-59,-110,-79,-110,-86,-110,-110,-73,-88,-110,-110,-83
1,1657875807,T11,-59,-110,-79,-110,-86,-110,-110,-73,-88,-110,-110,-83
2,1657875808,T11,-74,-110,-77,-82,-110,-77,-110,-76,-87,-110,-90,-110
3,1657875809,T11,-74,-110,-77,-82,-110,-77,-110,-76,-87,-110,-90,-110
4,1657875810,T11,-65,-78,-75,-78,-85,-74,-110,-110,-110,-110,-110,-110
5,1657875811,T11,-65,-78,-75,-78,-85,-74,-110,-110,-110,-110,-110,-110
6,1657875812,T11,-65,-78,-75,-78,-85,-74,-110,-110,-110,-110,-110,-110
7,1657875813,T11,-65,-78,-75,-78,-85,-74,-110,-110,-110,-110,-110,-110
0,1657875848,T12,-64,-76,-110,-79,-80,-85,-110,-110,-110,-110,-110,-82
1,1657875849,T12,-64,-76,-110,-79,-80,-85,-110,-110,-110,-110,-110,-82
2,1657875850,T12,-64,-76,-110,-79,-80,-85,-110,-110,-110,-110,-110,-82
3,1657875851,T12,-64,-76,-110,-79,-80,-85,-110,-110,-110,-110,-110,-82
4,1657875852,T12,-62,-110,-81,-65,-110,-110,-110,-79,-110,-110,-110,-87
5,1657875853,T12,-62,-110,-81,-65,-110,-110,-110,-79,-110,-110,-110,-87
6,1657875854,T12,-62,-110,-81,-65,-110,-110,-110,-79,-110,-110,-110,-87
7,1657875855,T12,-62,-110,-81,-65,-110,-110,-110,-79,-110,-110,-110,-87
0,1657875903,T13,-63,-78,-110,-79,-110,-75,-110,-110,-110,-110,-110,-110
1,1657875904,T13,-63,-78,-110,-79,-110,-75,-110,-110,-110,-110,-110,-110
2,1657875905,T13,-63,-78,-110,-79,-110,-75,-110,-110,-110,-110,-110,-110
3,1657875906,T13,-63,-78,-110,-79,-110,-75,-110,-110,-110,-110,-110,-110
4,1657875907,T13,-63,-78,-110,-79,-110,-75,-110,-110,-110,-110,-110,-110
5,1657875908,T13,-63,-78,-110,-79,-110,-75,-110,-110,-110,-110,-110,-110
6,1657875909,T13,-63,-78,-110,-79,-110,-75,-110,-110,-110,-110,-110,-110
7,1657875910,T13,-63,-78,-110,-79,-110,-75,-110,-110,-110,-110,-110,-110
0,1657875929,T14,-110,-110,-73,-74,-88,-74,-89,-110,-110,-110,-110,-110
1,1657875930,T14,-110,-110,-73,-74,-88,-74,-89,-110,-110,-110,-110,-110
2,1657875931,T14,-58,-79,-110,-71,-90,-82,-110,-79,-110,-110,-110,-110
3,1657875932,T14,-58,-79,-110,-71,-90,-82,-110,-79,-110,-110,-110,-110
4,1657875933,T14,-60,-110,-110,-72,-110,-78,-110,-75,-110,-110,-110,-83
5,1657875934,T14,-60,-110,-110,-72,-110,-78,-110,-75,-110,-110,-110,-83
6,1657875935,T14,-60,-110,-110,-72,-110,-78,-110,-75,-110,-110,-110,-83
7,1657875936,T14,-60,-110,-110,-72,-110,-78,-110,-75,-110,-110,-110,-83
8,1657875937,T14,-60,-110,-110,-72,-110,-78,-110,-75,-110,-110,-110,-83
0,1657875962,T15,-58,-110,-76,-74,-85,-110,-110,-110,-110,-110,-110,-82
1,1657875963,T15,-58,-110,-76,-74,-85,-110,-110,-110,-110,-110,-110,-82
2,1657875964,T15,-58,-110,-76,-74,-85,-110,-110,-110,-110,-110,-110,-82
3,1657875965,T15,-58,-110,-76,-74,-85,-110,-110,-110,-110,-110,-110,-82
4,1657875966,T15,-58,-110,-76,-74,-85,-110,-110,-110,-110,-110,-110,-82
5,1657875967,T15,-58,-110,-76,-74,-85,-110,-110,-110,-110,-110,-110,-82
0,1657875993,T16,-63,-78,-110,-75,-89,-83,-88,-110,-110,-110,-110,-80
1,1657875994,T16,-110,-72,-110,-78,-110,-81,-90,-110,-110,-110,-110,-81
2,1657875995,T16,-110,-72,-110,-78,-110,-81,-90,-110,-110,-110,-110,-81
3,1657875996,T16,-110,-72,-110,-78,-110,-81,-90,-110,-110,-110,-110,-81
4,1657875997,T16,-110,-72,-110,-78,-110,-81,-90,-110,-110,-110,-110,-81
5,1657875998,T16,-110,-72,-110,-78,-110,-81,-90,-110,-110,-110,-110,-81
0,1657876034,T17,-61,-110,-82,-110,-110,-110,-110,-73,-86,-110,-110,-110
1,1657876035,T17,-61,-110,-82,-110,-110,-110,-110,-73,-86,-110,-110,-110
2,1657876036,T17,-61,-110,-82,-110,-110,-110,-110,-73,-86,-110,-110,-110
3,1657876037,T17,-61,-110,-82,-110,-110,-110,-110,-73,-86,-110,-110,-110
4,1657876038,T17,-61,-110,-82,-110,-110,-110,-110,-73,-86,-110,-110,-110
5,1657876039,T17,-61,-110,-82,-110,-110,-110,-110,-73,-86,-110,-110,-110
6,1657876040,T17,-61,-110,-82,-110,-110,-110,-110,-73,-86,-110,-110,-110
7,1657876041,T17,-61,-110,-82,-110,-110,-110,-110,-73,-86,-110,-110,-110
8,1657876042,T17,-61,-110,-82,-110,-110,-110,-110,-73,-86,-110,-110,-110
0,1657876063,T18,-66,-78,-110,-77,-110,-81,-88,-77,-87,-110,-110,-110
1,1657876064,T18,-66,-78,-110,-77,-110,-81,-88,-77,-87,-110,-110,-110
2,1657876065,T18,-70,-110,-85,-78,-110,-110,-110,-110,-110,-110,-110,-110
3,1657876066,T18,-70,-110,-85,-78,-110,-110,-110,-110,-110,-110,-110,-110
4,1657876067,T18,-65,-110,-110,-78,-110,-84,-110,-110,-85,-110,-110,-110
5,1657876068,T18,-65,-110,-110,-78,-110,-84,-110,-110,-85,-110,-110,-110
6,1657876069,T18,-65,-110,-110,-78,-110,-84,-110,-110,-85,-110,-110,-110
7,1657876070,T18,-65,-110,-110,-78,-110,-84,-110,-110,-85,-110,-110,-110
8,1657876071,T18,-65,-110,-110,-78,-110,-84,-110,-110,-85,-110,-110,-110
9,1657876072,T18,-65,-110,-110,-78,-110,-84,-110,-110,-85,-110,-110,-110
10,1657876073,T18,-65,-110,-110,-78,-110,-84,-110,-110,-85,-110,-110,-110
11,1657876074,T18,-66,-79,-110,-82,-88,-110,-83,-110,-88,-110,-110,-110
